job_id,company,title,location,tags,url,scraped_at,run_id
1129300,2100 NVIDIA USA,Senior GenAI Technical Lead Partner Platforms,"US, CA, Santa Clara","['Design', 'Technical', 'Support', 'Software', 'Growth', 'Cloud', 'Leader', 'Strategy', 'Lead', 'Senior', 'Engineering']",https://remoteok.com/remote-jobs/remote-senior-genai-technical-lead-partner-platforms-2100-nvidia-usa-1129300,2025-12-25T19:08:12.015379+00:00,
1129296,Little Thinking Minds,Senior DevOps Engineer,,"['Security', 'Students', 'Architect', 'Technical', 'Support', 'DevOps', 'Cloud', 'Lead', 'Senior', 'Junior', 'Operational', 'Engineer']",https://remoteok.com/remote-jobs/remote-senior-devops-engineer-little-thinking-minds-1129296,2025-12-25T19:08:12.015379+00:00,
1129294,The Allen Institute for Artificial Intelligence,Senior Research Engineer OLMo,,"['Senior', 'Excel', 'Engineer', 'Engineering']",https://remoteok.com/remote-jobs/remote-senior-research-engineer-olmo-the-allen-institute-for-artificial-intelligence-1129294,2025-12-25T19:08:12.015379+00:00,
1129291,Field AI,Operations Recruiter,,"['Design', 'Technical', 'Recruiter', 'Support', 'Software', 'Financial', 'Finance', 'Robotics', 'Management', 'Senior', 'Operations', 'Analytics', 'Sales', 'Go', 'Recruiting', 'Executive']",https://remoteok.com/remote-jobs/remote-operations-recruiter-field-ai-1129291,2025-12-25T19:08:12.015379+00:00,
1129290,MeridianLink,Full Stack Software Engineer III Angular Java,,"['Software', 'Design', 'Front-End', 'Back-End', 'Full-Stack', 'Technical', 'Support', 'Testing', 'UI', 'Code', 'Web', 'DevOps', 'Java', 'Angular', 'Lead', 'Senior', 'Junior', 'Engineer']",https://remoteok.com/remote-jobs/remote-full-stack-software-engineer-iii-angular-java-meridianlink-1129290,2025-12-25T19:08:12.015379+00:00,
1129287,Field Nation,Software Engineer,,"['Software', 'SaaS', 'React', 'Docker', 'Technical', 'Support', 'Growth', 'Web', 'PHP', 'HTML', 'Git', 'MySQL', 'Node. JS', 'Mobile', 'Engineer', 'Engineering', 'Linux']",https://remoteok.com/remote-jobs/remote-software-engineer-field-nation-1129287,2025-12-25T19:08:12.015379+00:00,
1129285,Braze,Platform Security Engineer,,"['Security', 'Growth', 'Engineer', 'Engineering']",https://remoteok.com/remote-jobs/remote-platform-security-engineer-braze-1129285,2025-12-25T19:08:12.015379+00:00,
1129282,Deposco,Software Engineer Integrations,,"['Software', 'Design', 'SaaS', 'Amazon', 'Front-End', 'Back-End', 'UI', 'Web', 'Java', 'MySQL', 'API', 'Management', 'Health', 'Engineer', 'Engineering', 'Apache', 'E-Commerce']",https://remoteok.com/remote-jobs/remote-software-engineer-integrations-deposco-1129282,2025-12-25T19:08:12.015379+00:00,
1129274,HighlightTA,Director IT & Security,,"['Security', 'Director', 'Training', 'Support', 'Software', 'Testing', 'Edu', 'Investor', 'Cloud', 'Senior', 'Operations', 'Operational', 'Recruitment']",https://remoteok.com/remote-jobs/remote-director-it-security-highlightta-1129274,2025-12-25T19:08:12.015379+00:00,
1129273,Flex,Product Owner Payments,,"['Design', 'SaaS', 'Security', 'Support', 'Growth', 'Financial', 'Finance', 'Fintech', 'Banking', 'Mobile', 'Management', 'Operations', 'Operational', 'Analytics', 'Legal', 'Engineering']",https://remoteok.com/remote-jobs/remote-product-owner-payments-flex-1129273,2025-12-25T19:08:12.015379+00:00,
