run_id,source,started_at,completed_at,jobs_scraped,status
a473e547-9dac-4858-ac41-9787bf63e1ee,remoteok,2026-01-12T06:35:43.814891+00:00,2026-01-12T06:36:04.111064+00:00,148,success
84513d79-183d-4fba-a5a1-da3d817f403f,remoteok,2026-01-12T18:32:16.096430+00:00,2026-01-12T18:32:34.792170+00:00,147,success
6c01ffde-f79c-489a-8d9d-aa8711b850ec,remoteok,2026-01-13T06:33:11.872517+00:00,2026-01-13T06:33:30.298731+00:00,198,success
12ec1018-2182-421f-bed0-db7b01852bd0,remoteok,2026-01-13T18:30:36.870132+00:00,2026-01-13T18:30:51.216392+00:00,198,success
90e2a9d1-dfbe-4d5f-92ca-f85ed191b676,remoteok,2026-01-14T06:33:22.736516+00:00,2026-01-14T06:33:44.106418+00:00,149,success
ee2bab03-8684-4cb0-970b-274863b6d6a6,remoteok,2026-01-14T18:32:41.324738+00:00,2026-01-14T18:33:02.953134+00:00,149,success
60369ac1-6cd1-47a8-98d8-5e3b53926338,remoteok,2026-01-15T06:32:44.446457+00:00,2026-01-15T06:33:03.960919+00:00,198,success
dda5d739-6327-4b13-8595-0c446e0f5f66,remoteok,2026-01-15T18:35:36.099862+00:00,2026-01-15T18:35:53.818494+00:00,199,success
9b4672b1-089a-4bad-b486-3cc11e67b122,remoteok,2026-01-16T06:33:24.629584+00:00,2026-01-16T06:33:47.313205+00:00,140,success
7805d1ab-16fa-4419-9994-03da55d4f834,remoteok,2026-01-16T18:31:26.286640+00:00,2026-01-16T18:31:46.342694+00:00,139,success
792c0499-f622-4451-85d8-08dc92c5bb32,remoteok,2026-01-17T06:29:50.425518+00:00,2026-01-17T06:30:04.032168+00:00,190,success
109b2f28-464f-40ba-a975-15e89894688c,remoteok,2026-01-17T18:27:42.870789+00:00,2026-01-17T18:28:02.077201+00:00,140,success
9bd1fcc3-4289-45a9-b718-6d5eb07afd4a,remoteok,2026-01-18T06:30:20.993419+00:00,2026-01-18T06:30:43.690426+00:00,140,success
0947971e-a0fe-4193-a68c-b594ad23d58a,remoteok,2026-01-18T18:27:11.154478+00:00,2026-01-18T18:27:32.539951+00:00,240,success
d18e91f5-846b-4da3-b487-43d8f31a2051,remoteok,2026-01-19T06:37:44.925013+00:00,2026-01-19T06:38:03.551337+00:00,190,success
cd169f63-ad8a-4c69-b305-27f4fc4f667b,remoteok,2026-01-19T18:31:29.239147+00:00,2026-01-19T18:31:55.594375+00:00,138,success
3a6d9e08-b937-4118-9090-67bea98d22d8,remoteok,2026-01-20T06:35:21.555499+00:00,2026-01-20T06:35:34.750188+00:00,188,success
97d07740-9e00-49d7-b6ff-6b8e1b8148ad,remoteok,2026-01-20T18:36:01.066480+00:00,2026-01-20T18:36:14.936431+00:00,186,success
9faee4d7-b304-4067-a2c5-dcbd07f81472,remoteok,2026-01-21T06:35:28.480542+00:00,2026-01-21T06:35:49.751156+00:00,134,success
93dde0c2-1179-4808-b27f-652779a33d6d,remoteok,2026-01-21T18:41:09.682198+00:00,2026-01-21T18:41:25.815345+00:00,139,success
7d76d742-2cc4-472e-8fe0-89cac7211438,remoteok,2026-01-22T06:33:57.494986+00:00,2026-01-22T06:34:15.517170+00:00,140,success
b0d0a503-aec9-4ee0-a113-0048f9c4a9ed,remoteok,2026-01-22T18:31:57.609888+00:00,2026-01-22T18:32:17.361709+00:00,140,success
2c789039-feb4-42fc-b73c-13a40450f662,remoteok,2026-01-23T06:34:02.938183+00:00,2026-01-23T06:34:22.281572+00:00,189,success
29f3db59-d19e-4a1f-a8e6-15aee5313055,remoteok,2026-01-23T18:32:33.368839+00:00,2026-01-23T18:33:03.400833+00:00,140,success
af769321-036a-489c-bf13-02d1977ec540,remoteok,2026-01-24T06:30:50.506591+00:00,2026-01-24T06:31:10.514734+00:00,138,success
16138503-1cc8-41b4-b3fa-fb86e1b67458,remoteok,2026-01-24T18:29:18.438601+00:00,2026-01-24T18:29:36.239973+00:00,187,success
62306199-7f2f-42c4-ae4f-16472f46b012,remoteok,2026-01-25T06:30:54.917157+00:00,2026-01-25T06:31:12.678025+00:00,186,success
c027c42a-38fd-4386-a2d2-e5c3ff103ad1,remoteok,2026-01-25T18:29:25.246916+00:00,2026-01-25T18:29:43.419953+00:00,138,success
7f9a0d8f-f220-4fa5-bd18-5bcab8cab203,remoteok,2026-01-26T06:36:07.243077+00:00,2026-01-26T06:36:28.110975+00:00,138,success
6717d797-691b-4c6b-a93d-65553925b0d2,remoteok,2026-01-26T18:35:12.981175+00:00,2026-01-26T18:35:47.093144+00:00,135,success
63766089-2e40-4c21-8127-612c939e616f,remoteok,2026-01-27T06:34:36.056968+00:00,2026-01-27T06:34:54.680758+00:00,189,success
c143eae7-dc26-4056-ad8a-cca8b2e22b35,remoteok,2026-01-27T18:37:49.717925+00:00,2026-01-27T18:38:09.598156+00:00,189,success
ff992114-9105-4c16-a610-c74a50c79ac8,remoteok,2026-01-28T06:35:29.883426+00:00,2026-01-28T06:35:43.316819+00:00,189,success
8df31a18-3970-4aea-bf60-4da7a2f9d76b,remoteok,2026-01-28T18:36:35.382548+00:00,2026-01-28T18:36:55.883174+00:00,188,success
